Subordinate,Priming,Predict,Right
Ankle socks is a type of ,Fish. ,Clothing.,-1
Ankle socks is a type of ,,Clothing.,0
Ankle socks is a type of ,Clothing. ,Clothing.,1
Bald eagle is a type of ,Furniture. ,Bird.,-1
Bald eagle is a type of ,,Bird.,0
Bald eagle is a type of ,Bird. ,Bird.,1
Ball-peen hammer is a type of ,Clothing. ,Tool.,-1
Ball-peen hammer is a type of ,,Tool.,0
Ball-peen hammer is a type of ,Tool. ,Tool.,1
Base drum is a type of ,Vehicle. ,Musical Instrument.,-1
Base drum is a type of ,,Musical Instrument.,0
Base drum is a type of ,Musical Instrument. ,Musical Instrument.,1
Blueback salmon is a type of ,Musical Instrument. ,Fish.,-1
Blueback salmon is a type of ,,Fish.,0
Blueback salmon is a type of ,Fish. ,Fish.,1
Chinook salmon is a type of ,Furniture. ,Fish.,-1
Chinook salmon is a type of ,,Fish.,0
Chinook salmon is a type of ,Fish. ,Fish.,1
City bus is a type of ,Bird. ,Vehicle.,-1
City bus is a type of ,,Vehicle.,0
City bus is a type of ,Vehicle. ,Vehicle.,1
Classical guitar is a type of ,Clothing. ,Musical Instrument.,-1
Classical guitar is a type of ,,Musical Instrument.,0
Classical guitar is a type of ,Musical Instrument. ,Musical Instrument.,1
Claw hammer is a type of ,Bird. ,Tool.,-1
Claw hammer is a type of ,,Tool.,0
Claw hammer is a type of ,Tool. ,Tool.,1
Cling peach is a type of ,Vehicle. ,Fruit.,-1
Cling peach is a type of ,,Fruit.,0
Cling peach is a type of ,Fruit. ,Fruit.,1
Concord grapes is a type of ,Furniture. ,Fruit.,-1
Concord grapes is a type of ,,Fruit.,0
Concord grapes is a type of ,Fruit. ,Fruit.,1
Cross country bus is a type of ,Tool. ,Vehicle.,-1
Cross country bus is a type of ,,Vehicle.,0
Cross country bus is a type of ,Vehicle. ,Vehicle.,1
Cross-cutting hand saw is a type of ,Clothing. ,Tool.,-1
Cross-cutting hand saw is a type of ,,Tool.,0
Cross-cutting hand saw is a type of ,Tool. ,Tool.,1
Delicious apple is a type of ,Clothing. ,Fruit.,-1
Delicious apple is a type of ,,Fruit.,0
Delicious apple is a type of ,Fruit. ,Fruit.,1
Desk lamp is a type of ,Fish. ,Furniture.,-1
Desk lamp is a type of ,,Furniture.,0
Desk lamp is a type of ,Furniture. ,Furniture.,1
Dining room table is a type of ,Fish. ,Furniture.,-1
Dining room table is a type of ,,Furniture.,0
Dining room table is a type of ,Furniture. ,Furniture.,1
Double knit pants is a type of ,Vehicle. ,Clothing.,-1
Double knit pants is a type of ,,Clothing.,0
Double knit pants is a type of ,Clothing. ,Clothing.,1
Dress shirt is a type of ,Musical Instrument. ,Clothing.,-1
Dress shirt is a type of ,,Clothing.,0
Dress shirt is a type of ,Clothing. ,Clothing.,1
Easter cardinal is a type of ,Furniture. ,Bird.,-1
Easter cardinal is a type of ,,Bird.,0
Easter cardinal is a type of ,Bird. ,Bird.,1
Field sparrow is a type of ,Furniture. ,Bird.,-1
Field sparrow is a type of ,,Bird.,0
Field sparrow is a type of ,Bird. ,Bird.,1
Floor lamp is a type of ,Clothing. ,Furniture.,-1
Floor lamp is a type of ,,Furniture.,0
Floor lamp is a type of ,Furniture. ,Furniture.,1
Folk guitar is a type of ,Furniture. ,Musical Instrument.,-1
Folk guitar is a type of ,,Musical Instrument.,0
Folk guitar is a type of ,Musical Instrument. ,Musical Instrument.,1
Four door sedan car is a type of ,Tool. ,Vehicle.,-1
Four door sedan car is a type of ,,Vehicle.,0
Four door sedan car is a type of ,Vehicle. ,Vehicle.,1
Freestone peach is a type of ,Musical Instrument. ,Fruit.,-1
Freestone peach is a type of ,,Fruit.,0
Freestone peach is a type of ,Fruit. ,Fruit.,1
Golden eagle is a type of ,Tool. ,Bird.,-1
Golden eagle is a type of ,,Bird.,0
Golden eagle is a type of ,Bird. ,Bird.,1
Grand piano is a type of ,Bird. ,Musical Instrument.,-1
Grand piano is a type of ,,Musical Instrument.,0
Grand piano is a type of ,Musical Instrument. ,Musical Instrument.,1
Green seedless grapes is a type of ,Musical Instrument. ,Fruit.,-1
Green seedless grapes is a type of ,,Fruit.,0
Green seedless grapes is a type of ,Fruit. ,Fruit.,1
Grey tailed cardinal is a type of ,Tool. ,Bird.,-1
Grey tailed cardinal is a type of ,,Bird.,0
Grey tailed cardinal is a type of ,Bird. ,Bird.,1
Hack hand saw is a type of ,Musical Instrument. ,Tool.,-1
Hack hand saw is a type of ,,Tool.,0
Hack hand saw is a type of ,Tool. ,Tool.,1
Kettle drum is a type of ,Tree. ,Musical Instrument.,-1
Kettle drum is a type of ,,Musical Instrument.,0
Kettle drum is a type of ,Musical Instrument. ,Musical Instrument.,1
Kitchen chair is a type of ,Musical Instrument. ,Furniture.,-1
Kitchen chair is a type of ,,Furniture.,0
Kitchen chair is a type of ,Furniture. ,Furniture.,1
Kitchen table is a type of ,Fruit. ,Furniture.,-1
Kitchen table is a type of ,,Furniture.,0
Kitchen table is a type of ,Furniture. ,Furniture.,1
Knee socks is a type of ,Musical Instrument. ,Clothing.,-1
Knee socks is a type of ,,Clothing.,0
Knee socks is a type of ,Clothing. ,Clothing.,1
Knit shirt is a type of ,Bird. ,Clothing.,-1
Knit shirt is a type of ,,Clothing.,0
Knit shirt is a type of ,Clothing. ,Clothing.,1
Levis is a type of ,Tree. ,Clothing.,-1
Levis is a type of ,,Clothing.,0
Levis is a type of ,Clothing. ,Clothing.,1
Living room chair is a type of ,Bird. ,Furniture.,-1
Living room chair is a type of ,,Furniture.,0
Living room chair is a type of ,Furniture. ,Furniture.,1
Mackintosh apple is a type of ,Bird. ,Fruit.,-1
Mackintosh apple is a type of ,,Fruit.,0
Mackintosh apple is a type of ,Fruit. ,Fruit.,1
Phillips screwdriver is a type of ,Fruit. ,Tool.,-1
Phillips screwdriver is a type of ,,Tool.,0
Phillips screwdriver is a type of ,Tool. ,Tool.,1
Pick up truck is a type of ,Fruit. ,Vehicle.,-1
Pick up truck is a type of ,,Vehicle.,0
Pick up truck is a type of ,Vehicle. ,Vehicle.,1
Rainbow trout is a type of ,Tree. ,Fish.,-1
Rainbow trout is a type of ,,Fish.,0
Rainbow trout is a type of ,Fish. ,Fish.,1
Red oak is a type of ,Clothing. ,Tree.,-1
Red oak is a type of ,,Tree.,0
Red oak is a type of ,Tree. ,Tree.,1
Regular screwdriver is a type of ,Tree. ,Tool.,-1
Regular screwdriver is a type of ,,Tool.,0
Regular screwdriver is a type of ,Tool. ,Tool.,1
River birch is a type of ,Musical Instrument. ,Tree.,-1
River birch is a type of ,,Tree.,0
River birch is a type of ,Tree. ,Tree.,1
Sea bass is a type of ,Vehicle. ,Fish.,-1
Sea bass is a type of ,,Fish.,0
Sea bass is a type of ,Fish. ,Fish.,1
Silver maple is a type of ,Tool. ,Tree.,-1
Silver maple is a type of ,,Tree.,0
Silver maple is a type of ,Tree. ,Tree.,1
Song sparrow is a type of ,Fruit. ,Bird.,-1
Song sparrow is a type of ,,Bird.,0
Song sparrow is a type of ,Bird. ,Bird.,1
Sports car is a type of ,Tree. ,Vehicle.,-1
Sports car is a type of ,,Vehicle.,0
Sports car is a type of ,Vehicle. ,Vehicle.,1
Steelhead trout is a type of ,Tree. ,Fish.,-1
Steelhead trout is a type of ,,Fish.,0
Steelhead trout is a type of ,Fish. ,Fish.,1
Striped bass is a type of ,Musical Instrument. ,Fish.,-1
Striped bass is a type of ,,Fish.,0
Striped bass is a type of ,Fish. ,Fish.,1
Sugar maple is a type of ,Furniture. ,Tree.,-1
Sugar maple is a type of ,,Tree.,0
Sugar maple is a type of ,Tree. ,Tree.,1
Tractor-trailer truck is a type of ,Furniture. ,Vehicle.,-1
Tractor-trailer truck is a type of ,,Vehicle.,0
Tractor-trailer truck is a type of ,Vehicle. ,Vehicle.,1
Upright piano is a type of ,Clothing. ,Musical Instrument.,-1
Upright piano is a type of ,,Musical Instrument.,0
Upright piano is a type of ,Musical Instrument. ,Musical Instrument.,1
White birch is a type of ,Tool. ,Tree.,-1
White birch is a type of ,,Tree.,0
White birch is a type of ,Tree. ,Tree.,1
White oak is a type of ,Clothing. ,Tree.,-1
White oak is a type of ,,Tree.,0
White oak is a type of ,Tree. ,Tree.,1
