pa, pp, ta, tp
the priest surprises the minister .,the minister is surprised by the priest .,a singer chased an army .,an army was chased by a singer .
the cousin asks the business .,the business is asked by the cousin .,a daughter purchased a button .,a button was purchased by a daughter .
a business wanted a bag .,a bag was wanted by a business .,the friend prepares the chicken .,the chicken is prepared by the friend .
a sheriff punches a bishop .,a bishop is punched by a sheriff .,the friend left the cigarette .,the cigarette was left by the friend .
the secretary carries the tea .,the tea is carried by the secretary .,a winner used a card .,a card was used by a winner .
the champion drinks the coffee .,the coffee is drunk by the champion .,an actress helped a colonel .,a colonel was helped by an actress .
a teacher comforts a partner .,a partner is comforted by a teacher .,the minister purchased the beer .,the beer was purchased by the minister .
the captain eats the cheese .,the cheese is eaten by the captain .,a lawyer beat an employee .,an employee was beaten by a lawyer .
the husband hurts the administration .,the administration is hurt by the husband .,a kid used a hat .,a hat was used by a kid .
the manager describes the telephone .,the telephone is described by the manager .,a father kissed a wife .,a wife was kissed by a father .
a boy teaches a chief .,a chief is taught by a boy .,the company protected the physician .,the physician was protected by the company .
a singer kisses an uncle .,an uncle is kissed by a singer .,the brother collected the book .,the book was collected by the brother .
the actor accepts the pot .,the pot is accepted by the actor .,a kid raised a machine .,a machine was raised by a kid .
the wife asks the corporation .,the corporation is asked by the wife .,a president smelled a wire .,a wire was smelled by a president .
the company uses the cigarette .,the cigarette is used by the company .,a president smelled a wire .,a wire was smelled by a president .
the man joins the company .,the company is joined by the man .,a student ate a salad .,a salad was eaten by a student .
a friend destroys a doctor .,a doctor is destroyed by a friend .,the business kept the key .,the key was kept by the business .
the minister purchased the tea .,the tea was purchased by the minister .,a girl hurries a prince .,a prince is hurried by a girl .
the opponent describes the television .,the television is described by the opponent .,a reader led a company .,a company was led by a reader .
a champion forgave a guy .,a guy was forgiven by a champion .,the minister removes the bowl .,the bowl is removed by the minister .
a scientist purchased a coffee .,a coffee was purchased by a scientist .,the opponent strikes the girl .,the girl is struck by the opponent .
a son chased an employer .,an employer was chased by a son .,the girl smells the chicken .,the chicken is smelled by the girl .
a writer grabbed a bottle .,a bottle was grabbed by a writer .,the captain keeps the tea .,the tea is kept by the captain .
a colonel chased a business .,a business was chased by a colonel .,the sheriff forgets the button .,the button is forgotten by the sheriff .
a business purchased a juice .,a juice was purchased by a business .,the mayor eats the salad .,the salad is eaten by the mayor .
a secretary grabbed a son .,a son was grabbed by a secretary .,the singer selects the gun .,the gun is selected by the singer .
a cop punched a woman .,a woman was punched by a cop .,the prince asks the corporation .,the corporation is asked by the prince .
a doctor washed a cigarette .,a cigarette was washed by a doctor .,the actor forgives the administration .,the administration is forgiven by the actor .
a teacher smelled a guitar .,a guitar was smelled by a teacher .,the child wraps the coat .,the coat is wrapped by the child .
a priest struck a princess .,a princess was struck by a priest .,the guest raises the meal .,the meal is raised by the guest .
the captain discovered the salad .,the salad was discovered by the captain .,a company helps an employee .,an employee is helped by a company .
an opponent surprises a physician .,a physician is surprised by an opponent .,the son wrapped the cup .,the cup was wrapped by the son .
an opponent grabs a champion .,a champion is grabbed by an opponent .,the child hurt the boy .,the boy was hurt by the child .
the professor prepares the salad .,the salad is prepared by the professor .,a lady hurt a company .,a company was hurt by a lady .
the actress uses the bag .,the bag is used by the actress .,a teacher bothered an army .,an army was bothered by a teacher .
an actor understands a professor .,a professor is understood by an actor .,the cousin followed the sheriff .,the sheriff was followed by the cousin .
the reader ate the pie .,the pie was eaten by the reader .,a husband bothers a prince .,a prince is bothered by a husband .
a winner left a knife .,a knife was left by a winner .,the business protects the princess .,the princess is protected by the business .
the opponent judges the soldier .,the soldier is judged by the opponent .,a professor raised a physician .,a physician was raised by a professor .
a king destroys a coffee .,a coffee is destroyed by a king .,the minister punched the employee .,the employee was punched by the minister .
an aunt hurried a husband .,a husband was hurried by an aunt .,the corporation uses the box .,the box is used by the corporation .
the princess tastes the chocolate .,the chocolate is tasted by the princess .,a winner grabbed a chicken .,a chicken was grabbed by a winner .
a cop collects a pie .,a pie is collected by a cop .,the hero forgot the beer .,the beer was forgotten by the hero .
the child hurt the partner .,the partner was hurt by the child .,an author joins a lady .,a lady is joined by an author .
the author joins the club .,the club is joined by the author .,a pilot asked a company .,a company was asked by a pilot .
a guest asks a parent .,a parent is asked by a guest .,the worker grabbed the president .,the president was grabbed by the worker .
the secretary grabs the engine .,the engine is grabbed by the secretary .,a nurse raised a juice .,a juice was raised by a nurse .
the buddy surprises the cousin .,the cousin is surprised by the buddy .,an army kept a salad .,a salad was kept by an army .
the girl understood the priest .,the priest was understood by the girl .,a husband tastes a chicken .,a chicken is tasted by a husband .
the child bothers the colonel .,the colonel is bothered by the child .,a princess removed a computer .,a computer was removed by a princess .
a professor caught an employee .,an employee was caught by a professor .,the leader embraces the lawyer .,the lawyer is embraced by the leader .
the husband leaves the cup .,the cup is left by the husband .,a daughter understood a candidate .,a candidate was understood by a daughter .
a president ate a chicken .,a chicken was eaten by a president .,the soldier forgets the coffee .,the coffee is forgotten by the soldier .
a parent teaches an aunt .,an aunt is taught by a parent .,the singer broke the instrument .,the instrument was broken by the singer .
the author surprised the king .,the king was surprised by the author .,a sheriff hurts a business .,a business is hurt by a sheriff .
the worker kills the uncle .,the uncle is killed by the worker .,a lawyer followed a president .,a president was followed by a lawyer .
the girl carries the meal .,the meal is carried by the girl .,a club used a flower .,a flower was used by a club .
the wife joined the business .,the business was joined by the wife .,a priest forgives a buddy .,a buddy is forgiven by a priest .
a princess understands a physician .,a physician is understood by a princess .,the worker grabbed the president .,the president was grabbed by the worker .
an employee forgot a worker .,a worker was forgotten by an employee .,the writer describes the coffee .,the coffee is described by the writer .
the king discovered the coat .,the coat was discovered by the king .,a company purchases a beer .,a beer is purchased by a company .
the minister embraces the chief .,the chief is embraced by the minister .,a winner grabbed a chicken .,a chicken was grabbed by a winner .
the doctor judged the chief .,the chief was judged by the doctor .,a father wants an anchor .,an anchor is wanted by a father .
an employee asked a pilot .,a pilot was asked by an employee .,the chief kisses the writer .,the writer is kissed by the chief .
the student punches the wife .,the wife is punched by the student .,an uncle beat a brother .,a brother was beaten by an uncle .
a captain collected a computer .,a computer was collected by a captain .,the soldier raises the beer .,the beer is raised by the soldier .
the prince removed the computer .,the computer was removed by the prince .,a scientist tastes a meal .,a meal is tasted by a scientist .
the chief destroys the candy .,the candy is destroyed by the chief .,a winner used a card .,a card was used by a winner .
the chief forgets the bishop .,the bishop is forgotten by the chief .,an author raised a meal .,a meal was raised by an author .
the brother dragged the hat .,the hat was dragged by the brother .,a soldier drinks a beer .,a beer is drunk by a soldier .
a professor collects a candy .,a candy is collected by a professor .,the wife hurt the captain .,the captain was hurt by the wife .
a colonel smells a beer .,a beer is smelled by a colonel .,the son broke the instrument .,the instrument was broken by the son .
a buddy taught a student .,a student was taught by a buddy .,the manager hurts the daughter .,the daughter is hurt by the manager .
the champion asked the army .,the army was asked by the champion .,a president destroys a king .,a king is destroyed by a president .
the actor discovers the writer .,the writer is discovered by the actor .,a guy judged an administration .,an administration was judged by a guy .
an administration purchased a chicken .,a chicken was purchased by an administration .,the man forgives the business .,the business is forgiven by the man .
the aunt accepts the hat .,the hat is accepted by the aunt .,a student punched a scientist .,a scientist was punched by a student .
the soldier comforted the man .,the man was comforted by the soldier .,a teacher joins a kid .,a kid is joined by a teacher .
a chief breaks a motor .,a motor is broken by a chief .,the priest left the cigarette .,the cigarette was left by the priest .
the pilot joins the company .,the company is joined by the pilot .,a band purchased a candy .,a candy was purchased by a band .
a king forgot a juice .,a juice was forgotten by a king .,the minister destroys the coffee .,the coffee is destroyed by the minister .
the band protects the actor .,the actor is protected by the band .,a prince beat a nurse .,a nurse was beaten by a prince .
a father removed a button .,a button was removed by a father .,the professor understands the lawyer .,the lawyer is understood by the professor .
the adult surprises the physician .,the physician is surprised by the adult .,a president removed a computer .,a computer was removed by a president .
a doctor left a cigarette .,a cigarette was left by a doctor .,the captain chases the aunt .,the aunt is chased by the captain .
the student asked the secretary .,the secretary was asked by the student .,a mayor joins a club .,a club is joined by a mayor .
the soldier tastes the salad .,the salad is tasted by the soldier .,an aunt surprised a wife .,a wife was surprised by an aunt .
the woman embraces the daughter .,the daughter is embraced by the woman .,a winner hurt a company .,a company was hurt by a winner .
a boy destroys a meal .,a meal is destroyed by a boy .,the parent joined the mother .,the mother was joined by the parent .
a pilot helped a lawyer .,a lawyer was helped by a pilot .,the cop describes the telephone .,the telephone is described by the cop .
a princess bothers a buddy .,a buddy is bothered by a princess .,the actress removed the guitar .,the guitar was removed by the actress .
an attorney follows a guest .,a guest is followed by an attorney .,the army used the iron .,the iron was used by the army .
the business wants the gun .,the gun is wanted by the business .,a mother collected a chocolate .,a chocolate was collected by a mother .
the guest prepares the beer .,the beer is prepared by the guest .,a candidate collected a chicken .,a chicken was collected by a candidate .
the leader destroys the candy .,the candy is destroyed by the leader .,a parent bothered a business .,a business was bothered by a parent .
the student selected the minister .,the minister was selected by the student .,a child bothers a company .,a company is bothered by a child .
a soldier carries a tea .,a tea is carried by a soldier .,the writer forgave the administration .,the administration was forgiven by the writer .
the brother kissed the cop .,the cop was kissed by the brother .,a captain selects a hero .,a hero is selected by a captain .
the nurse punches the winner .,the winner is punched by the nurse .,a guy ate a chocolate .,a chocolate was eaten by a guy .
a pilot kissed a nurse .,a nurse was kissed by a pilot .,the winner wraps the bell .,the bell is wrapped by the winner .
an actress judged a band .,a band was judged by an actress .,the child removes the bag .,the bag is removed by the child .
a cousin understands a captain .,a captain is understood by a cousin .,the prince removed the bag .,the bag was removed by the prince .
the doctor washed the key .,the key was washed by the doctor .,a leader judges an actress .,an actress is judged by a leader .
the soldier asked the club .,the club was asked by the soldier .,a husband bothers a prince .,a prince is bothered by a husband .
the teacher prepares the ball .,the ball is prepared by the teacher .,a cousin led a corporation .,a corporation was led by a cousin .
a boy drank a juice .,a juice was drunk by a boy .,the lawyer kills the author .,the author is killed by the lawyer .
the priest wrapped the computer .,the computer was wrapped by the priest .,an aunt beats an actress .,an actress is beaten by an aunt .
the partner washed the priest .,the priest was washed by the partner .,an attorney beats a worker .,a worker is beaten by an attorney .
the aunt carried the chocolate .,the chocolate was carried by the aunt .,a man forgives a company .,a company is forgiven by a man .
a president ate a chicken .,a chicken was eaten by a president .,the soldier leads the corporation .,the corporation is led by the soldier .
the sheriff judges the company .,the company is judged by the sheriff .,a parent kissed an aunt .,an aunt was kissed by a parent .
the writer discovered the salad .,the salad was discovered by the writer .,a child surprises a girl .,a girl is surprised by a child .
the actor grabbed the motor .,the motor was grabbed by the actor .,a president accepts a hat .,a hat is accepted by a president .
a husband embraced a scientist .,a scientist was embraced by a husband .,the aunt drinks the beer .,the beer is drunk by the aunt .
a pilot asks a business .,a business is asked by a pilot .,the daughter beat the adult .,the adult was beaten by the daughter .
the writer killed the husband .,the husband was killed by the writer .,a partner grabs a coffee .,a coffee is grabbed by a partner .
a reader accepted a hat .,a hat was accepted by a reader .,the buddy selects the pot .,the pot is selected by the buddy .
the aunt removed the crystal .,the crystal was removed by the aunt .,a champion accepts a wire .,a wire is accepted by a champion .
the attorney prepared the tea .,the tea was prepared by the attorney .,a doctor smells a salad .,a salad is smelled by a doctor .
a nurse chases a woman .,a woman is chased by a nurse .,the father killed the buddy .,the buddy was killed by the father .
a business wants a candy .,a candy is wanted by a business .,the hero caught the flower .,the flower was caught by the hero .
the teacher carried the cup .,the cup was carried by the teacher .,a bishop wraps a telephone .,a telephone is wrapped by a bishop .
the friend chased the company .,the company was chased by the friend .,an uncle embraces a kid .,a kid is embraced by an uncle .
the actor kissed the minister .,the minister was kissed by the actor .,a cousin selects a cheese .,a cheese is selected by a cousin .
the doctor kills the aunt .,the aunt is killed by the doctor .,a mayor led a club .,a club was led by a mayor .
a worker hurt a king .,a king was hurt by a worker .,the actor forgives the administration .,the administration is forgiven by the actor .
a sheriff selects a ball .,a ball is selected by a sheriff .,the president ate the chocolate .,the chocolate was eaten by the president .
an actor catches a professor .,a professor is caught by an actor .,the brother ate the meal .,the meal was eaten by the brother .
a boy wraps a cup .,a cup is wrapped by a boy .,the professor helped the singer .,the singer was helped by the professor .
a lawyer wrapped a machine .,a machine was wrapped by a lawyer .,the employee strikes the buddy .,the buddy is struck by the employee .
a guest discovers an adult .,an adult is discovered by a guest .,the champion helped the son .,the son was helped by the champion .
the doctor removes the computer .,the computer is removed by the doctor .,a buddy comforted an adult .,an adult was comforted by a buddy .
a king understood a lawyer .,a lawyer was understood by a king .,the child teaches the lady .,the lady is taught by the child .
a scientist kisses a president .,a president is kissed by a scientist .,the writer punched the employee .,the employee was punched by the writer .
an army kept a camera .,a camera was kept by an army .,the leader accepts the motor .,the motor is accepted by the leader .
a cop grabbed a box .,a box was grabbed by a cop .,the colonel kisses the author .,the author is kissed by the colonel .
a sheriff keeps a glass .,a glass is kept by a sheriff .,the prince bothered the administration .,the administration was bothered by the prince .
a manager beat an aunt .,an aunt was beaten by a manager .,the attorney drags the camera .,the camera is dragged by the attorney .
the buddy hurt the corporation .,the corporation was hurt by the buddy .,a son judges an administration .,an administration is judged by a son .
a professor tastes a pie .,a pie is tasted by a professor .,the army helped the lawyer .,the lawyer was helped by the army .
the chief wanted the juice .,the juice was wanted by the chief .,a cousin selects a cheese .,a cheese is selected by a cousin .
a man hurries a candidate .,a candidate is hurried by a man .,the writer understood the kid .,the kid was understood by the writer .
the cop killed the nurse .,the nurse was killed by the cop .,a minister leads a business .,a business is led by a minister .
a leader keeps a candy .,a candy is kept by a leader .,the prince prepared the juice .,the juice was prepared by the prince .
the cop asked the band .,the band was asked by the cop .,a man forgives a company .,a company is forgiven by a man .
the candidate helps the secretary .,the secretary is helped by the candidate .,a chief forgave a company .,a company was forgiven by a chief .
the winner wanted the cheese .,the cheese was wanted by the winner .,a man washes a nurse .,a nurse is washed by a man .
the guest carries the cheese .,the cheese is carried by the guest .,a father punched a minister .,a minister was punched by a father .
the actress forgave the band .,the band was forgiven by the actress .,a cousin embraces a champion .,a champion is embraced by a cousin .
a brother discovered a chicken .,a chicken was discovered by a brother .,the chief drags the girl .,the girl is dragged by the chief .
a colonel tastes a chicken .,a chicken is tasted by a colonel .,the man comforted the guest .,the guest was comforted by the man .
a champion surprised a princess .,a princess was surprised by a champion .,the son understands the mother .,the mother is understood by the son .
the uncle hurts the lawyer .,the lawyer is hurt by the uncle .,a manager chased an author .,an author was chased by a manager .
a reader wraps a jacket .,a jacket is wrapped by a reader .,the employee protected the doctor .,the doctor was protected by the employee .
the winner understands the chief .,the chief is understood by the winner .,a mother caught a tea .,a tea was caught by a mother .
the employer described the beer .,the beer was described by the employer .,an aunt wants a log .,a log is wanted by an aunt .
a writer catches an adult .,an adult is caught by a writer .,the minister purchased the beer .,the beer was purchased by the minister .
the employer hurts the priest .,the priest is hurt by the employer .,an opponent raised a president .,a president was raised by an opponent .
an attorney chases a guest .,a guest is chased by an attorney .,the daughter protected the mother .,the mother was protected by the daughter .
the buddy protects the manager .,the manager is protected by the buddy .,an actress dragged a cigarette .,a cigarette was dragged by an actress .
a physician accepted a log .,a log was accepted by a physician .,the mayor breaks the cup .,the cup is broken by the mayor .
a cop raises a pie .,a pie is raised by a cop .,the guy joined the club .,the club was joined by the guy .
a brother hurries a hero .,a hero is hurried by a brother .,the parent forgot the secretary .,the secretary was forgotten by the parent .
the parent left the jacket .,the jacket was left by the parent .,an administration keeps a chicken .,a chicken is kept by an administration .
the guy led the administration .,the administration was led by the guy .,a writer hurries an aunt .,an aunt is hurried by a writer .
a colonel beats a princess .,a princess is beaten by a colonel .,the brother collected the book .,the book was collected by the brother .
an employee followed a friend .,a friend was followed by an employee .,the chief forgives the band .,the band is forgiven by the chief .
a buddy judged a minister .,a minister was judged by a buddy .,the army purchases the salad .,the salad is purchased by the army .
the candidate embraced the guest .,the guest was embraced by the candidate .,a buddy selects a machine .,a machine is selected by a buddy .
the kid forgives the son .,the son is forgiven by the kid .,a king raised a coffee .,a coffee was raised by a king .
a captain drank a tea .,a tea was drunk by a captain .,the nurse strikes the candidate .,the candidate is struck by the nurse .
the husband washed the soldier .,the soldier was washed by the husband .,a daughter raises a coffee .,a coffee is raised by a daughter .
the scientist catches the juice .,the juice is caught by the scientist .,an employee left a box .,a box was left by an employee .
a son punches a singer .,a singer is punched by a son .,the winner taught the bishop .,the bishop was taught by the winner .
a captain catches a juice .,a juice is caught by a captain .,the employee joined the administration .,the administration was joined by the employee .
the partner discovers the guy .,the guy is discovered by the partner .,an aunt killed a nurse .,a nurse was killed by an aunt .
the adult broke the guitar .,the guitar was broken by the adult .,an employer catches a key .,a key is caught by an employer .
the princess punches the attorney .,the attorney is punched by the princess .,a student helped a father .,a father was helped by a student .
the adult accepted the computer .,the computer was accepted by the adult .,a colonel removes a jacket .,a jacket is removed by a colonel .
a president selected a writer .,a writer was selected by a president .,the army purchases the salad .,the salad is purchased by the army .
the captain hurt the bishop .,the bishop was hurt by the captain .,a brother drinks a coffee .,a coffee is drunk by a brother .
the cousin smelled the cheese .,the cheese was smelled by the cousin .,a parent punches a guest .,a guest is punched by a parent .
the nurse destroys the tea .,the tea is destroyed by the nurse .,a soldier selected a chocolate .,a chocolate was selected by a soldier .
a prince punched a champion .,a champion was punched by a prince .,the manager hurts the daughter .,the daughter is hurt by the manager .
the scientist raised the juice .,the juice was raised by the scientist .,a reader protects a minister .,a minister is protected by a reader .
a buddy forgives an army .,an army is forgiven by a buddy .,the child beat the kid .,the kid was beaten by the child .
a priest beat a writer .,a writer was beaten by a priest .,the leader discovers the coffee .,the coffee is discovered by the leader .
the chief beats the guest .,the guest is beaten by the chief .,a pilot left an iron .,an iron was left by a pilot .
the brother protects the physician .,the physician is protected by the brother .,an uncle taught a wife .,a wife was taught by an uncle .
the daughter discovered the sheriff .,the sheriff was discovered by the daughter .,a woman helps a bishop .,a bishop is helped by a woman .
the mayor hurt the club .,the club was hurt by the mayor .,a doctor hurries a secretary .,a secretary is hurried by a doctor .
the child surprises the author .,the author is surprised by the child .,an actress killed a buddy .,a buddy was killed by an actress .
a band kept a chicken .,a chicken was kept by a band .,the hero punches the professor .,the professor is punched by the hero .
an aunt carries a tea .,a tea is carried by an aunt .,the worker hurt the army .,the army was hurt by the worker .
the champion prepares the chocolate .,the chocolate is prepared by the champion .,a singer followed an army .,an army was followed by a singer .
the father bothers the administration .,the administration is bothered by the father .,a doctor drank a tea .,a tea was drunk by a doctor .
a man smelled a chocolate .,a chocolate was smelled by a man .,the teacher leaves the glass .,the glass is left by the teacher .
a son destroyed a cheese .,a cheese was destroyed by a son .,the club helps the uncle .,the uncle is helped by the club .
the mother wraps the television .,the television is wrapped by the mother .,an employer led a business .,a business was led by an employer .
a prince washed an attorney .,an attorney was washed by a prince .,the cop discovers the chicken .,the chicken is discovered by the cop .
a husband kept a pie .,a pie was kept by a husband .,the guest beats the attorney .,the attorney is beaten by the guest .
a father left a glass .,a glass was left by a father .,the scientist embraces the soldier .,the soldier is embraced by the scientist .
a leader punches a mother .,a mother is punched by a leader .,the cop accepted the gun .,the gun was accepted by the cop .
the president removes the coat .,the coat is removed by the president .,a sheriff smelled a pie .,a pie was smelled by a sheriff .
an opponent washed a leader .,a leader was washed by an opponent .,the club helps the uncle .,the uncle is helped by the club .
a winner joined a club .,a club was joined by a winner .,the colonel kills the man .,the man is killed by the colonel .
a king bothered a professor .,a professor was bothered by a king .,the minister kills the captain .,the captain is killed by the minister .
a pilot wraps a crystal .,a crystal is wrapped by a pilot .,the partner surprised the candidate .,the candidate was surprised by the partner .
a buddy caught an anchor .,an anchor was caught by a buddy .,the mayor strikes the uncle .,the uncle is struck by the mayor .
the teacher wraps the cigarette .,the cigarette is wrapped by the teacher .,a brother described a juice .,a juice was described by a brother .
the employer carried the guitar .,the guitar was carried by the employer .,a daughter asks a buddy .,a buddy is asked by a daughter .
a physician grabbed a juice .,a juice was grabbed by a physician .,the adult surprises the husband .,the husband is surprised by the adult .
a woman purchased a cheese .,a cheese was purchased by a woman .,the soldier drinks the juice .,the juice is drunk by the soldier .
the worker breaks the wire .,the wire is broken by the worker .,a lawyer ate a chocolate .,a chocolate was eaten by a lawyer .
a champion drags a television .,a television is dragged by a champion .,the captain accepted the book .,the book was accepted by the captain .
an employer smells an engine .,an engine is smelled by an employer .,the winner washed the lawyer .,the lawyer was washed by the winner .
a secretary wants a cup .,a cup is wanted by a secretary .,the author judged the company .,the company was judged by the author .
a cop embraced a worker .,a worker was embraced by a cop .,the business protects the princess .,the princess is protected by the business .
a club purchases a key .,a key is purchased by a club .,the lawyer ate the salad .,the salad was eaten by the lawyer .
a guy strikes an adult .,an adult is struck by a guy .,the business kept the key .,the key was kept by the business .
the corporation purchased the candy .,the candy was purchased by the corporation .,a guy describes an aunt .,an aunt is described by a guy .
an administration kept a chocolate .,a chocolate was kept by an administration .,the soldier grabs the hero .,the hero is grabbed by the soldier .
the doctor prepares the meal .,the meal is prepared by the doctor .,a princess kissed a minister .,a minister was kissed by a princess .
a brother kills a partner .,a partner is killed by a brother .,the author wrapped the crystal .,the crystal was wrapped by the author .
a colonel kills a reader .,a reader is killed by a colonel .,the brother followed the man .,the man was followed by the brother .
a colonel beats a chief .,a chief is beaten by a colonel .,the employee joined the business .,the business was joined by the employee .
a secretary removed a guitar .,a guitar was removed by a secretary .,the writer collects the meal .,the meal is collected by the writer .
an attorney drank a beer .,a beer was drunk by an attorney .,the partner bothers the worker .,the worker is bothered by the partner .
the friend led the company .,the company was led by the friend .,a woman eats a chicken .,a chicken is eaten by a woman .
a daughter forgets a cousin .,a cousin is forgotten by a daughter .,the writer comforted the cop .,the cop was comforted by the writer .
the candidate wanted the crystal .,the crystal was wanted by the candidate .,a student judges a nurse .,a nurse is judged by a student .
the kid forgives the club .,the club is forgiven by the kid .,an employee removed a book .,a book was removed by an employee .
the teacher forgave the buddy .,the buddy was forgiven by the teacher .,an attorney smells a juice .,a juice is smelled by an attorney .
the physician forgets the coffee .,the coffee is forgotten by the physician .,an army kept a salad .,a salad was kept by an army .
the bishop wrapped the book .,the book was wrapped by the bishop .,a singer destroys a coffee .,a coffee is destroyed by a singer .
the business purchases the juice .,the juice is purchased by the business .,a nurse wrapped a camera .,a camera was wrapped by a nurse .
the father grabs the princess .,the princess is grabbed by the father .,a soldier wrapped a crystal .,a crystal was wrapped by a soldier .
a guest forgot a beer .,a beer was forgotten by a guest .,the sheriff removes the bowl .,the bowl is removed by the sheriff .
the nurse discovers the cheese .,the cheese is discovered by the nurse .,an uncle hurried a lawyer .,a lawyer was hurried by an uncle .
the opponent bothers the company .,the company is bothered by the opponent .,a prince prepared a meal .,a meal was prepared by a prince .
the colonel surprised the lady .,the lady was surprised by the colonel .,a prince punches a lawyer .,a lawyer is punched by a prince .
the opponent prepared the log .,the log was prepared by the opponent .,an army purchases a candy .,a candy is purchased by an army .
the father wraps the bowl .,the bowl is wrapped by the father .,an army protected a woman .,a woman was protected by an army .
an actor joins a nurse .,a nurse is joined by an actor .,the professor beat the woman .,the woman was beaten by the professor .
the secretary drinks the juice .,the juice is drunk by the secretary .,a business protected a president .,a president was protected by a business .
a singer smells a chocolate .,a chocolate is smelled by a singer .,the pilot left the card .,the card was left by the pilot .
the nurse discovered the beer .,the beer was discovered by the nurse .,a student forgives a club .,a club is forgiven by a student .
the president destroyed the pot .,the pot was destroyed by the president .,a doctor hurries a secretary .,a secretary is hurried by a doctor .
the king hurried the professor .,the professor was hurried by the king .,a candidate forgives a business .,a business is forgiven by a candidate .
the army protected the father .,the father was protected by the army .,a president accepts a television .,a television is accepted by a president .
